signature_length;signature;subsig_to;subsig_from;tail_to;tail_from;cross_edges_count;multinomial_to;multinomial_from;ratio;cross_edge
6;(2, 2, 2, 1, 1, 1);(2, 2, 1, 1, 1, 1);(2, 1, 2, 1, 1, 1);(2,);(1,);2436;10080;10080;29/120;((0, 0, 1, 2, 3, 4, 5, 2, 1), (0, 0, 1, 2, 4, 3, 5, 2, 1))
6;(2, 2, 2, 1, 1, 1);(2, 2, 2, 0, 1, 1);(2, 2, 1, 1, 1, 1);(3,);(2,);1256;5040;10080;157/1260;((0, 0, 1, 1, 2, 4, 5, 3, 2), (0, 0, 1, 1, 2, 5, 4, 3, 2))
6;(2, 2, 2, 1, 1, 1);(2, 2, 2, 1, 0, 1);(2, 2, 2, 0, 1, 1);(4,);(3,);587;5040;5040;587/5040;((0, 0, 1, 1, 2, 2, 5, 4, 3), (0, 0, 1, 1, 2, 5, 2, 4, 3))
6;(2, 2, 2, 1, 1, 1);(2, 2, 2, 1, 1);(2, 2, 2, 1, 0, 1);(5,);(4,);588;5040;5040;7/60;((0, 0, 1, 1, 2, 3, 2, 5, 4), (0, 0, 1, 1, 3, 2, 2, 5, 4))
6;(2, 2, 2, 2, 1, 1);(1, 2, 2, 2, 0, 1);(2, 2, 2, 2);(0, 4);(5, 4);220;5040;2520;11/126;((0, 1, 1, 2, 2, 3, 3, 0, 5, 4), (1, 0, 1, 2, 2, 3, 3, 0, 5, 4))
6;(2, 2, 2, 2, 1, 1);(1, 2, 2, 2, 1);(2, 2, 2, 1, 1);(0, 5);(3, 5);1103;5040;5040;1103/5040;((0, 1, 1, 2, 2, 3, 4, 0, 3, 5), (1, 0, 1, 2, 2, 3, 4, 0, 3, 5))
6;(2, 2, 2, 2, 1, 1);(1, 2, 2, 2, 1);(2, 2, 2, 2);(0, 5);(4, 5);244;5040;2520;61/630;((0, 1, 1, 2, 3, 2, 3, 0, 4, 5), (0, 1, 2, 1, 3, 2, 3, 0, 4, 5))
6;(2, 2, 2, 2, 1, 1);(2, 1, 2, 2, 0, 1);(1, 2, 2, 2, 0, 1);(1, 4);(0, 4);1104;5040;5040;23/105;((0, 1, 2, 2, 3, 3, 5, 1, 0, 4), (1, 0, 2, 2, 3, 3, 5, 1, 0, 4))
6;(2, 2, 2, 2, 1, 1);(2, 1, 2, 2, 1);(1, 2, 2, 2, 1);(1, 5);(0, 5);1104;5040;5040;23/105;((0, 1, 2, 2, 3, 3, 4, 1, 0, 5), (1, 0, 2, 2, 3, 3, 4, 1, 0, 5))
6;(2, 2, 2, 2, 1, 1);(2, 2, 1, 2, 0, 1);(2, 1, 2, 2, 0, 1);(2, 4);(1, 4);1102;5040;5040;551/2520;((0, 0, 1, 2, 3, 5, 3, 2, 1, 4), (0, 0, 2, 1, 3, 5, 3, 2, 1, 4))
6;(2, 2, 2, 2, 1, 1);(2, 2, 1, 2, 1);(2, 1, 2, 2, 1);(2, 5);(1, 5);1102;5040;5040;551/2520;((0, 0, 1, 2, 3, 4, 3, 2, 1, 5), (0, 0, 2, 1, 3, 4, 3, 2, 1, 5))
6;(2, 2, 2, 2, 1, 1);(2, 2, 2, 1, 0, 1);(2, 2, 1, 2, 0, 1);(3, 4);(2, 4);1102;5040;5040;551/2520;((0, 0, 1, 1, 2, 5, 3, 3, 2, 4), (0, 0, 1, 1, 5, 2, 3, 3, 2, 4))
6;(2, 2, 2, 2, 1, 1);(2, 2, 2, 1, 1);(2, 2, 1, 2, 1);(3, 5);(2, 5);1102;5040;5040;551/2520;((0, 0, 1, 1, 2, 4, 3, 3, 2, 5), (0, 0, 1, 1, 4, 2, 3, 3, 2, 5))
6;(2, 2, 2, 2, 1, 1);(2, 2, 2, 2);(2, 2, 2, 1, 0, 1);(5, 4);(3, 4);263;2520;5040;263/5040;((0, 0, 1, 1, 2, 3, 2, 5, 3, 4), (0, 0, 1, 1, 3, 2, 2, 5, 3, 4))
6;(3, 1, 1, 1, 1, 1);(2, 1, 1, 1, 1, 1);(3, 1, 1, 1, 1);(0,);(5,);358;2520;840;179/420;((0, 0, 1, 2, 4, 3, 0, 5), (0, 0, 1, 2, 3, 4, 0, 5))
6;(3, 1, 1, 1, 1, 1);(3, 0, 1, 1, 1, 1);(2, 1, 1, 1, 1, 1);(1,);(0,);358;840;2520;179/1260;((0, 0, 2, 3, 4, 5, 1, 0), (0, 0, 2, 4, 3, 5, 1, 0))
6;(3, 1, 1, 1, 1, 1);(3, 1, 0, 1, 1, 1);(3, 0, 1, 1, 1, 1);(2,);(1,);118;840;840;59/420;((0, 0, 0, 3, 4, 5, 2, 1), (0, 0, 0, 3, 5, 4, 2, 1))
6;(3, 1, 1, 1, 1, 1);(3, 1, 1, 0, 1, 1);(3, 1, 0, 1, 1, 1);(3,);(2,);118;840;840;59/420;((0, 0, 0, 1, 4, 5, 3, 2), (0, 0, 0, 4, 1, 5, 3, 2))
6;(3, 1, 1, 1, 1, 1);(3, 1, 1, 1, 0, 1);(3, 1, 1, 0, 1, 1);(4,);(3,);118;840;840;59/420;((0, 0, 0, 1, 2, 5, 4, 3), (0, 0, 0, 1, 5, 2, 4, 3))
6;(3, 1, 1, 1, 1, 1);(3, 1, 1, 1, 1);(3, 1, 1, 1, 0, 1);(5,);(4,);119;840;840;17/120;((0, 0, 0, 1, 3, 2, 5, 4), (0, 0, 0, 1, 2, 3, 5, 4))
6;(3, 1, 2, 2, 2, 2);(3, 1, 2, 1, 2, 2);(3, 1, 1, 2, 2, 2);(3,);(2,);141122;831600;831600;70561/415800;((0, 0, 0, 1, 2, 3, 4, 5, 4, 5, 3, 2), (0, 0, 0, 1, 3, 2, 4, 5, 4, 5, 3, 2))
6;(3, 1, 2, 2, 2, 2);(3, 1, 2, 2, 1, 2);(3, 1, 2, 1, 2, 2);(4,);(3,);141124;831600;831600;35281/207900;((0, 0, 0, 1, 2, 2, 3, 4, 5, 5, 4, 3), (0, 0, 0, 1, 2, 3, 2, 4, 5, 5, 4, 3))
6;(3, 2, 1, 1, 1, 1);(2, 2, 1, 1, 1, 1);(3, 2, 1, 1, 1);(0,);(5,);1258;10080;3360;629/1680;((0, 0, 1, 1, 2, 4, 3, 0, 5), (0, 0, 1, 1, 2, 3, 4, 0, 5))
6;(3, 2, 1, 1, 1, 1);(3, 1, 1, 1, 1, 1);(2, 2, 1, 1, 1, 1);(1,);(0,);2517;6720;10080;839/3360;((0, 0, 1, 2, 3, 4, 5, 1, 0), (0, 0, 1, 2, 3, 5, 4, 1, 0))
6;(3, 2, 1, 1, 1, 1);(3, 2, 0, 1, 1, 1);(3, 1, 1, 1, 1, 1);(2,);(1,);837;3360;6720;279/2240;((0, 0, 0, 1, 3, 4, 5, 2, 1), (0, 0, 0, 1, 3, 5, 4, 2, 1))
6;(3, 2, 1, 1, 1, 1);(3, 2, 1, 0, 1, 1);(3, 2, 0, 1, 1, 1);(3,);(2,);418;3360;3360;209/1680;((0, 0, 0, 1, 1, 4, 5, 3, 2), (0, 0, 0, 1, 1, 5, 4, 3, 2))
6;(3, 2, 1, 1, 1, 1);(3, 2, 1, 1, 0, 1);(3, 2, 1, 0, 1, 1);(4,);(3,);418;3360;3360;209/1680;((0, 0, 0, 1, 1, 5, 2, 4, 3), (0, 0, 0, 1, 1, 2, 5, 4, 3))
6;(3, 2, 1, 1, 1, 1);(3, 2, 1, 1, 1);(3, 2, 1, 1, 0, 1);(5,);(4,);419;3360;3360;419/3360;((0, 0, 0, 1, 1, 2, 3, 5, 4), (0, 0, 0, 1, 1, 3, 2, 5, 4))
6;(3, 2, 2, 1, 1, 1);(2, 2, 2, 1, 1, 1);(3, 2, 2, 1, 1);(0,);(5,);5038;45360;15120;2519/7560;((0, 0, 1, 1, 2, 2, 3, 4, 0, 5), (0, 0, 1, 1, 2, 2, 4, 3, 0, 5))
6;(3, 2, 2, 1, 1, 1);(3, 1, 2, 1, 1, 1);(2, 2, 2, 1, 1, 1);(1,);(0,);10077;30240;45360;3359/15120;((0, 0, 1, 2, 2, 3, 4, 5, 1, 0), (0, 1, 0, 2, 2, 3, 4, 5, 1, 0))
6;(3, 2, 2, 1, 1, 1);(3, 2, 1, 1, 1, 1);(3, 1, 2, 1, 1, 1);(2,);(1,);6414;30240;30240;1069/5040;((0, 0, 0, 1, 2, 3, 5, 4, 2, 1), (0, 0, 0, 1, 2, 5, 3, 4, 2, 1))
6;(3, 2, 2, 1, 1, 1);(3, 2, 2, 0, 1, 1);(3, 2, 1, 1, 1, 1);(3,);(2,);3357;15120;30240;373/3360;((0, 0, 0, 1, 1, 2, 4, 5, 3, 2), (0, 0, 0, 1, 1, 4, 2, 5, 3, 2))
6;(3, 2, 2, 1, 1, 1);(3, 2, 2, 1, 0, 1);(3, 2, 2, 0, 1, 1);(4,);(3,);1678;15120;15120;839/7560;((0, 0, 0, 1, 1, 2, 5, 2, 4, 3), (0, 0, 0, 1, 2, 1, 5, 2, 4, 3))
6;(3, 2, 2, 1, 1, 1);(3, 2, 2, 1, 1);(3, 2, 2, 1, 0, 1);(5,);(4,);1679;15120;15120;1679/15120;((0, 0, 0, 1, 1, 2, 2, 3, 5, 4), (0, 0, 0, 1, 2, 1, 2, 3, 5, 4))
6;(3, 2, 2, 2, 1, 1);(2, 2, 2, 2, 1, 1);(3, 2, 2, 2, 1);(0,);(5,);20181;226800;75600;961/3600;((0, 0, 1, 1, 2, 2, 3, 3, 4, 0, 5), (0, 0, 1, 1, 2, 3, 2, 3, 4, 0, 5))
6;(3, 2, 2, 2, 1, 1);(3, 1, 2, 2, 1, 1);(2, 2, 2, 2, 1, 1);(1,);(0,);45357;151200;226800;15119/75600;((0, 0, 1, 2, 2, 3, 3, 4, 5, 1, 0), (0, 1, 0, 2, 2, 3, 3, 4, 5, 1, 0))
6;(3, 2, 2, 2, 1, 1);(3, 2, 1, 2, 1, 1);(3, 1, 2, 2, 1, 1);(2,);(1,);28488;151200;151200;1187/6300;((0, 0, 0, 1, 2, 3, 3, 4, 5, 2, 1), (0, 0, 0, 2, 1, 3, 3, 4, 5, 2, 1))
6;(3, 2, 2, 2, 1, 1);(3, 2, 2, 1, 1, 1);(3, 2, 1, 2, 1, 1);(3,);(2,);28488;151200;151200;1187/6300;((0, 0, 0, 1, 1, 2, 3, 4, 5, 3, 2), (0, 0, 0, 1, 1, 2, 3, 5, 4, 3, 2))
6;(3, 2, 2, 2, 1, 1);(3, 2, 2, 2, 0, 1);(3, 2, 2, 1, 1, 1);(4,);(3,);15116;75600;151200;3779/37800;((0, 0, 0, 1, 1, 2, 2, 5, 3, 4, 3), (0, 0, 0, 1, 1, 2, 2, 3, 5, 4, 3))
6;(3, 2, 2, 2, 1, 1);(3, 2, 2, 2, 1);(3, 2, 2, 2, 0, 1);(5,);(4,);6312;75600;75600;263/3150;((0, 0, 0, 1, 1, 2, 2, 3, 3, 5, 4), (0, 0, 0, 1, 2, 1, 2, 3, 3, 5, 4))
6;(3, 2, 2, 2, 2, 1);(1, 2, 2, 2, 2, 1);(2, 2, 2, 2, 2);(0, 0);(5, 0);8705;226800;113400;1741/22680;((0, 1, 1, 2, 2, 3, 4, 4, 3, 0, 5, 0), (0, 1, 2, 1, 2, 3, 4, 4, 3, 0, 5, 0))
6;(3, 2, 2, 2, 2, 1);(2, 1, 2, 2, 2, 1);(1, 2, 2, 2, 2, 1);(1, 0);(0, 0);41714;226800;226800;20857/113400;((0, 1, 2, 2, 3, 3, 4, 4, 5, 1, 0, 0), (1, 0, 2, 2, 3, 3, 4, 4, 5, 1, 0, 0))
6;(3, 2, 2, 2, 2, 1);(2, 2, 1, 2, 2, 1);(2, 1, 2, 2, 2, 1);(2, 0);(1, 0);41712;226800;226800;869/4725;((0, 0, 1, 2, 3, 3, 4, 5, 4, 2, 1, 0), (0, 0, 2, 1, 3, 3, 4, 5, 4, 2, 1, 0))
6;(3, 2, 2, 2, 2, 1);(2, 2, 2, 1, 2, 1);(2, 2, 1, 2, 2, 1);(3, 0);(2, 0);41712;226800;226800;869/4725;((0, 0, 1, 1, 2, 3, 4, 5, 4, 3, 2, 0), (0, 0, 1, 1, 3, 2, 4, 5, 4, 3, 2, 0))
6;(3, 2, 2, 2, 2, 1);(2, 2, 2, 2, 1, 1);(2, 2, 2, 1, 2, 1);(4, 0);(3, 0);41712;226800;226800;869/4725;((0, 0, 1, 1, 2, 2, 3, 5, 4, 4, 3, 0), (0, 0, 1, 1, 2, 2, 5, 3, 4, 4, 3, 0))
6;(3, 2, 2, 2, 2, 1);(2, 2, 2, 2, 2);(2, 2, 2, 2, 1, 1);(5, 0);(4, 0);10085;113400;226800;2017/45360;((0, 0, 1, 1, 2, 2, 3, 3, 4, 5, 4, 0), (0, 0, 1, 1, 2, 3, 2, 3, 4, 5, 4, 0))
6;(3, 2, 2, 2, 2, 1);(3, 1, 2, 2, 2);(2, 2, 2, 2, 2);(1, 5);(0, 5);9921;75600;113400;3307/37800;((0, 0, 1, 2, 2, 3, 4, 3, 4, 1, 0, 5), (0, 0, 1, 2, 3, 2, 4, 3, 4, 1, 0, 5))
6;(3, 2, 2, 2, 2, 1);(3, 1, 2, 2, 2);(3, 2, 2, 2, 1);(1, 5);(4, 5);13442;75600;75600;6721/37800;((0, 0, 0, 1, 2, 2, 3, 3, 4, 1, 4, 5), (0, 0, 1, 0, 2, 2, 3, 3, 4, 1, 4, 5))
6;(3, 2, 2, 2, 2, 1);(3, 2, 1, 2, 2);(3, 1, 2, 2, 2);(2, 5);(1, 5);13444;75600;75600;3361/18900;((0, 0, 0, 1, 2, 3, 3, 4, 4, 2, 1, 5), (0, 0, 0, 2, 1, 3, 3, 4, 4, 2, 1, 5))
6;(3, 2, 2, 2, 2, 1);(3, 2, 2, 1, 2);(3, 2, 1, 2, 2);(3, 5);(2, 5);13442;75600;75600;6721/37800;((0, 0, 0, 1, 1, 2, 3, 4, 4, 3, 2, 5), (0, 0, 0, 1, 1, 3, 2, 4, 4, 3, 2, 5))
6;(3, 2, 2, 2, 2, 1);(3, 2, 2, 2, 1);(3, 2, 2, 1, 2);(4, 5);(3, 5);13440;75600;75600;8/45;((0, 0, 0, 1, 1, 2, 2, 3, 4, 4, 3, 5), (0, 0, 0, 1, 1, 2, 2, 4, 3, 4, 3, 5))
6;(4, 1, 1, 1, 1, 1);(3, 1, 1, 1, 1, 1);(4, 1, 1, 1, 1);(0,);(5,);838;6720;1680;419/840;((0, 0, 0, 1, 2, 3, 4, 0, 5), (0, 0, 0, 1, 2, 4, 3, 0, 5))
6;(4, 1, 1, 1, 1, 1);(4, 0, 1, 1, 1, 1);(3, 1, 1, 1, 1, 1);(1,);(0,);838;1680;6720;419/3360;((0, 0, 0, 2, 3, 4, 5, 1, 0), (0, 0, 0, 2, 4, 3, 5, 1, 0))
6;(4, 1, 1, 1, 1, 1);(4, 1, 0, 1, 1, 1);(4, 0, 1, 1, 1, 1);(2,);(1,);208;1680;1680;13/105;((0, 0, 0, 0, 3, 4, 5, 2, 1), (0, 0, 0, 0, 4, 3, 5, 2, 1))
6;(4, 1, 1, 1, 1, 1);(4, 1, 1, 0, 1, 1);(4, 1, 0, 1, 1, 1);(3,);(2,);208;1680;1680;13/105;((0, 0, 0, 0, 1, 4, 5, 3, 2), (0, 0, 0, 0, 1, 5, 4, 3, 2))
6;(4, 1, 1, 1, 1, 1);(4, 1, 1, 1, 0, 1);(4, 1, 1, 0, 1, 1);(4,);(3,);208;1680;1680;13/105;((0, 0, 0, 0, 1, 5, 2, 4, 3), (0, 0, 0, 0, 1, 2, 5, 4, 3))
6;(4, 1, 1, 1, 1, 1);(4, 1, 1, 1, 1);(4, 1, 1, 1, 0, 1);(5,);(4,);209;1680;1680;209/1680;((0, 0, 0, 0, 1, 2, 3, 5, 4), (0, 0, 0, 0, 1, 3, 2, 5, 4))
7;(2, 1, 1, 1, 1, 1, 1);(1, 1, 1, 1, 1, 1, 1);(2, 1, 1, 1, 1, 1);(0,);(6,);359;5040;2520;359/2520;((0, 1, 2, 3, 5, 4, 0, 6), (0, 1, 2, 5, 3, 4, 0, 6))
7;(2, 1, 1, 1, 1, 1, 1);(2, 0, 1, 1, 1, 1, 1);(1, 1, 1, 1, 1, 1, 1);(1,);(0,);599;2520;5040;599/5040;((0, 2, 3, 4, 5, 6, 1, 0), (0, 2, 3, 4, 6, 5, 1, 0))
7;(2, 1, 1, 1, 1, 1, 1);(2, 1, 0, 1, 1, 1, 1);(2, 0, 1, 1, 1, 1, 1);(2,);(1,);358;2520;2520;179/1260;((0, 0, 3, 4, 5, 6, 2, 1), (0, 0, 3, 5, 4, 6, 2, 1))
7;(2, 1, 1, 1, 1, 1, 1);(2, 1, 1, 0, 1, 1, 1);(2, 1, 0, 1, 1, 1, 1);(3,);(2,);358;2520;2520;179/1260;((0, 0, 1, 4, 5, 6, 3, 2), (0, 0, 1, 4, 6, 5, 3, 2))
7;(2, 1, 1, 1, 1, 1, 1);(2, 1, 1, 1, 0, 1, 1);(2, 1, 1, 0, 1, 1, 1);(4,);(3,);358;2520;2520;179/1260;((0, 0, 1, 2, 5, 6, 4, 3), (0, 0, 1, 5, 2, 6, 4, 3))
7;(2, 1, 1, 1, 1, 1, 1);(2, 1, 1, 1, 1, 0, 1);(2, 1, 1, 1, 0, 1, 1);(5,);(4,);358;2520;2520;179/1260;((0, 0, 1, 2, 3, 6, 5, 4), (0, 0, 1, 2, 6, 3, 5, 4))
7;(2, 1, 1, 1, 1, 1, 1);(2, 1, 1, 1, 1, 1);(2, 1, 1, 1, 1, 0, 1);(6,);(5,);359;2520;2520;359/2520;((0, 0, 1, 2, 4, 3, 6, 5), (0, 0, 1, 2, 3, 4, 6, 5))
7;(2, 2, 1, 1, 1, 1, 1);(1, 2, 1, 1, 1, 1, 1);(2, 2, 1, 1, 1, 1);(0,);(6,);2518;20160;10080;1259/5040;((0, 1, 1, 2, 3, 4, 5, 0, 6), (0, 1, 2, 1, 3, 4, 5, 0, 6))
7;(2, 2, 1, 1, 1, 1, 1);(2, 1, 1, 1, 1, 1, 1);(1, 2, 1, 1, 1, 1, 1);(1,);(0,);5038;20160;20160;2519/10080;((0, 1, 2, 3, 4, 5, 6, 1, 0), (1, 0, 2, 3, 4, 5, 6, 1, 0))
7;(2, 2, 1, 1, 1, 1, 1);(2, 2, 0, 1, 1, 1, 1);(2, 1, 1, 1, 1, 1, 1);(2,);(1,);2517;10080;20160;839/6720;((0, 0, 1, 3, 4, 5, 6, 2, 1), (0, 0, 1, 3, 4, 6, 5, 2, 1))
7;(2, 2, 1, 1, 1, 1, 1);(2, 2, 1, 0, 1, 1, 1);(2, 2, 0, 1, 1, 1, 1);(3,);(2,);1258;10080;10080;629/5040;((0, 0, 1, 1, 4, 5, 6, 3, 2), (0, 0, 1, 1, 5, 4, 6, 3, 2))
7;(2, 2, 1, 1, 1, 1, 1);(2, 2, 1, 1, 0, 1, 1);(2, 2, 1, 0, 1, 1, 1);(4,);(3,);1258;10080;10080;629/5040;((0, 0, 1, 1, 2, 5, 6, 4, 3), (0, 0, 1, 1, 2, 6, 5, 4, 3))
7;(2, 2, 1, 1, 1, 1, 1);(2, 2, 1, 1, 1, 0, 1);(2, 2, 1, 1, 0, 1, 1);(5,);(4,);1258;10080;10080;629/5040;((0, 0, 1, 1, 2, 6, 3, 5, 4), (0, 0, 1, 1, 2, 3, 6, 5, 4))
7;(2, 2, 1, 1, 1, 1, 1);(2, 2, 1, 1, 1, 1);(2, 2, 1, 1, 1, 0, 1);(6,);(5,);1259;10080;10080;1259/10080;((0, 0, 1, 1, 2, 3, 4, 6, 5), (0, 0, 1, 1, 2, 4, 3, 6, 5))
7;(2, 2, 2, 1, 1, 1, 1);(1, 2, 2, 1, 1, 1, 1);(2, 2, 2, 1, 1, 1);(0,);(6,);10078;90720;45360;5039/22680;((0, 1, 1, 2, 2, 3, 4, 5, 0, 6), (0, 1, 2, 1, 2, 3, 4, 5, 0, 6))
7;(2, 2, 2, 1, 1, 1, 1);(2, 1, 2, 1, 1, 1, 1);(1, 2, 2, 1, 1, 1, 1);(1,);(0,);19822;90720;90720;9911/45360;((0, 1, 2, 2, 3, 4, 5, 6, 1, 0), (1, 0, 2, 2, 3, 4, 5, 6, 1, 0))
7;(2, 2, 2, 1, 1, 1, 1);(2, 2, 1, 1, 1, 1, 1);(2, 1, 2, 1, 1, 1, 1);(2,);(1,);19820;90720;90720;991/4536;((0, 0, 1, 2, 3, 5, 6, 4, 2, 1), (0, 0, 1, 2, 5, 3, 6, 4, 2, 1))
7;(2, 2, 2, 1, 1, 1, 1);(2, 2, 2, 0, 1, 1, 1);(2, 2, 1, 1, 1, 1, 1);(3,);(2,);10077;45360;90720;3359/30240;((0, 0, 1, 1, 2, 4, 5, 6, 3, 2), (0, 0, 1, 1, 2, 5, 4, 6, 3, 2))
7;(2, 2, 2, 1, 1, 1, 1);(2, 2, 2, 1, 0, 1, 1);(2, 2, 2, 0, 1, 1, 1);(4,);(3,);5038;45360;45360;2519/22680;((0, 0, 1, 1, 2, 2, 5, 6, 4, 3), (0, 0, 1, 1, 2, 2, 6, 5, 4, 3))
7;(2, 2, 2, 1, 1, 1, 1);(2, 2, 2, 1, 1, 0, 1);(2, 2, 2, 1, 0, 1, 1);(5,);(4,);5038;45360;45360;2519/22680;((0, 0, 1, 1, 2, 2, 3, 6, 5, 4), (0, 0, 1, 2, 1, 2, 3, 6, 5, 4))
7;(2, 2, 2, 1, 1, 1, 1);(2, 2, 2, 1, 1, 1);(2, 2, 2, 1, 1, 0, 1);(6,);(5,);5039;45360;45360;5039/45360;((0, 0, 1, 1, 2, 2, 3, 4, 6, 5), (0, 0, 1, 1, 2, 2, 4, 3, 6, 5))
