signature_length;signature;subsig_to;subsig_from;tail_to;tail_from;cross_edges_count;multinomial_to;multinomial_from;ratio;cross_edge
3;(5, 4, 3);(4, 4, 2);(4, 3, 3);(2, 0);(1, 0);620;3150;4200;31/210;((0, 0, 0, 0, 1, 1, 1, 2, 2, 2, 1, 0), (0, 0, 0, 1, 0, 1, 1, 2, 2, 2, 1, 0))
3;(5, 4, 3);(5, 3, 2);(4, 4, 2);(1, 2);(0, 2);619;2520;3150;619/3150;((0, 0, 0, 0, 1, 2, 2, 1, 1, 1, 0, 2), (0, 0, 0, 0, 2, 1, 2, 1, 1, 1, 0, 2))
3;(5, 4, 3);(5, 3, 2);(5, 4, 1);(1, 2);(2, 2);474;2520;1260;79/210;((0, 0, 0, 0, 0, 1, 1, 1, 2, 1, 2, 2), (0, 0, 0, 0, 0, 1, 1, 2, 1, 1, 2, 2))
3;(5, 5, 2);(3, 5, 2);(4, 4, 2);(0, 0);(1, 0);529;2520;3150;529/3150;((0, 0, 0, 1, 1, 1, 1, 2, 2, 0, 1, 0), (0, 0, 0, 1, 1, 1, 2, 1, 2, 0, 1, 0))
3;(5, 5, 2);(4, 4, 2);(4, 5, 1);(1, 0);(2, 0);310;3150;1260;31/126;((0, 0, 0, 0, 1, 1, 1, 2, 1, 1, 2, 0), (0, 0, 0, 1, 0, 1, 1, 2, 1, 1, 2, 0))
3;(5, 5, 2);(4, 5, 1);(3, 5, 2);(2, 0);(0, 0);474;1260;2520;79/420;((0, 0, 0, 1, 1, 1, 1, 2, 1, 2, 0, 0), (0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 0, 0))
3;(5, 5, 2);(4, 5, 2);(5, 5, 1);(0,);(2,);1228;6930;2772;307/693;((0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 0, 2), (0, 0, 0, 0, 1, 1, 1, 1, 2, 1, 0, 2))
3;(5, 5, 2);(5, 4, 1);(4, 4, 2);(2, 1);(0, 1);277;1260;3150;277/3150;((0, 0, 0, 0, 1, 1, 2, 1, 1, 2, 0, 1), (0, 0, 0, 0, 1, 1, 1, 2, 1, 2, 0, 1))
3;(5, 5, 2);(5, 4, 1);(5, 3, 2);(2, 1);(1, 1);474;1260;2520;79/420;((0, 0, 0, 0, 0, 1, 1, 1, 2, 2, 1, 1), (0, 0, 0, 0, 0, 1, 1, 2, 1, 2, 1, 1))
3;(5, 5, 3);(4, 5, 3);(5, 5, 2);(0,);(2,);4413;27720;16632;1471/5544;((0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 0, 2), (0, 0, 0, 1, 0, 1, 1, 1, 1, 2, 2, 0, 2))
3;(5, 5, 3);(5, 4, 3);(4, 5, 3);(1,);(0,);9124;27720;27720;2281/6930;((0, 0, 0, 0, 1, 1, 1, 2, 2, 2, 1, 1, 0), (0, 0, 0, 0, 1, 1, 2, 1, 2, 2, 1, 1, 0))
3;(5, 5, 3);(5, 5, 2);(5, 4, 3);(2,);(1,);5366;16632;27720;2683/13860;((0, 0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 1), (0, 0, 0, 0, 0, 1, 1, 1, 2, 1, 2, 2, 1))
3;(5, 5, 4);(3, 5, 4);(4, 4, 4);(0, 0);(1, 0);4910;27720;34650;491/3465;((0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 0, 1, 0), (0, 0, 1, 0, 1, 1, 1, 2, 2, 2, 2, 0, 1, 0))
3;(5, 5, 4);(4, 4, 4);(4, 5, 3);(1, 0);(2, 0);4824;34650;27720;67/385;((0, 0, 0, 0, 1, 1, 1, 2, 2, 2, 1, 1, 2, 0), (0, 0, 0, 0, 1, 1, 2, 1, 2, 2, 1, 1, 2, 0))
3;(5, 5, 4);(4, 5, 3);(3, 5, 4);(2, 0);(0, 0);8668;27720;27720;197/630;((0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 0, 0), (0, 0, 1, 0, 1, 1, 1, 1, 2, 2, 2, 2, 0, 0))
3;(5, 5, 4);(4, 5, 4);(5, 5, 3);(0,);(2,);27718;90090;72072;13859/36036;((0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 0, 2), (0, 0, 0, 1, 0, 1, 1, 1, 1, 2, 2, 2, 0, 2))
3;(5, 5, 4);(5, 4, 3);(4, 4, 4);(2, 1);(0, 1);5758;27720;34650;2879/17325;((0, 0, 0, 0, 1, 1, 1, 2, 1, 2, 2, 2, 0, 1), (0, 0, 0, 1, 0, 1, 1, 2, 1, 2, 2, 2, 0, 1))
3;(5, 5, 4);(5, 4, 3);(5, 3, 4);(2, 1);(1, 1);8668;27720;27720;197/630;((0, 0, 0, 0, 0, 1, 1, 1, 2, 2, 2, 2, 1, 1), (0, 0, 0, 0, 0, 1, 1, 2, 1, 2, 2, 2, 1, 1))
3;(5, 5, 5);(5, 4, 5);(4, 5, 5);(1,);(0,);61906;252252;252252;2381/9702;((0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 2, 1, 0), (0, 0, 0, 0, 1, 1, 1, 2, 1, 2, 2, 2, 2, 1, 0))
4;(1, 1, 4, 2);(0, 1, 4, 2);(1, 1, 4, 1);(0,);(3,);21;105;210;1/10;((1, 2, 2, 2, 2, 3, 0, 3), (1, 2, 2, 2, 3, 2, 0, 3))
4;(1, 1, 4, 2);(1, 1, 3, 2);(0, 1, 4, 2);(2,);(0,);58;420;105;58/105;((1, 2, 2, 2, 3, 3, 2, 0), (1, 2, 2, 3, 2, 3, 2, 0))
4;(1, 1, 4, 2);(1, 1, 4, 1);(1, 1, 3, 2);(3,);(2,);114;210;420;19/70;((0, 1, 2, 2, 3, 2, 3, 2), (1, 0, 2, 2, 3, 2, 3, 2))
4;(2, 1, 1, 1);(1, 1, 1, 1);(2, 1, 1);(0,);(3,);2;24;12;1/6;((0, 2, 1, 0, 3), (2, 0, 1, 0, 3))
4;(2, 1, 1, 1);(2, 0, 1, 1);(1, 1, 1, 1);(1,);(0,);2;12;24;1/12;((0, 2, 3, 1, 0), (0, 3, 2, 1, 0))
4;(2, 1, 1, 1);(2, 1, 0, 1);(2, 0, 1, 1);(2,);(1,);2;12;12;1/6;((0, 0, 3, 2, 1), (0, 3, 0, 2, 1))
4;(2, 1, 1, 1);(2, 1, 1);(2, 1, 0, 1);(3,);(2,);2;12;12;1/6;((0, 0, 1, 3, 2), (0, 1, 0, 3, 2))
4;(2, 2, 1, 1);(1, 2, 1, 1);(2, 2, 0, 1);(0,);(2,);8;60;30;4/15;((0, 1, 1, 3, 0, 2), (0, 1, 3, 1, 0, 2))
4;(2, 2, 1, 1);(2, 1, 1, 1);(1, 2, 1, 1);(1,);(0,);16;60;60;4/15;((0, 1, 2, 3, 1, 0), (0, 1, 3, 2, 1, 0))
4;(2, 2, 1, 1);(2, 2, 0, 1);(2, 1, 1, 1);(2,);(1,);7;30;60;7/60;((0, 0, 3, 1, 2, 1), (0, 0, 1, 3, 2, 1))
4;(2, 2, 2, 2);(0, 2, 2, 2);(1, 2, 2, 1);(0, 0);(3, 0);21;90;180;7/60;((1, 1, 2, 3, 2, 0, 3, 0), (1, 2, 1, 3, 2, 0, 3, 0))
4;(2, 2, 2, 2);(1, 1, 2, 2);(0, 2, 2, 2);(1, 0);(0, 0);15;180;90;1/6;((1, 2, 2, 3, 3, 1, 0, 0), (2, 1, 2, 3, 3, 1, 0, 0))
4;(2, 2, 2, 2);(1, 2, 1, 2);(2, 2, 0, 2);(0, 2);(2, 2);18;180;90;1/5;((0, 1, 1, 3, 3, 0, 2, 2), (1, 0, 1, 3, 3, 0, 2, 2))
4;(2, 2, 2, 2);(1, 2, 2, 1);(2, 1, 2, 1);(0, 3);(1, 3);48;180;180;4/15;((0, 1, 2, 2, 3, 0, 1, 3), (1, 0, 2, 2, 3, 0, 1, 3))
4;(2, 2, 2, 2);(2, 0, 2, 2);(1, 1, 2, 2);(1, 1);(0, 1);18;90;180;1/10;((0, 2, 2, 3, 3, 1, 0, 1), (2, 0, 2, 3, 3, 1, 0, 1))
4;(2, 2, 2, 2);(2, 1, 1, 2);(2, 0, 2, 2);(2, 1);(1, 1);19;180;90;19/90;((0, 0, 3, 2, 3, 2, 1, 1), (0, 3, 0, 2, 3, 2, 1, 1))
4;(2, 2, 2, 2);(2, 1, 2, 1);(2, 2, 2);(1, 3);(3, 3);20;180;90;2/9;((0, 0, 1, 2, 2, 1, 3, 3), (0, 0, 2, 1, 2, 1, 3, 3))
4;(2, 2, 2, 2);(2, 2, 0, 2);(2, 1, 1, 2);(2, 2);(1, 2);20;90;180;1/9;((0, 0, 1, 3, 3, 2, 1, 2), (0, 0, 3, 1, 3, 2, 1, 2))
